Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_RUCA_Desc,Total_Providers,Total_Beneficiaries,Avg_Allowed_Amt,Opportunity_Index
NH,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",2,141,244.4222912095,192.71114560475002
NJ,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",278,13891,305.82547722562373,51.06771754397707
NJ,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",4,282,378.3327440954,165.08318602385
NJ,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",2,104,174.84317413579998,139.4215870679
NM,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",49,3971,243.16869661397035,86.00344278804022
NM,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1,13,91.458,104.458
NM,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",4,294,168.64023583266666,115.66005895816667
NV,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",112,7450,294.75829194879435,69.14962760668566
NV,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",3,72,531.2387636340001,201.079587878
NY,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",433,29511,283.2771160431903,68.8089540786217
NY,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",2,44,566.1295252533333,305.06476262666666
NY,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",18,925,106.22785441648,57.29043635647112
NY,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",4,198,106.431795495,76.10794887375
NY,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",2,271,183.7506960456,227.37534802279998
NY,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",4,279,306.42106543875,146.3552663596875
NY,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",5,101,57.05399488283334,31.610798976566667
OH,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",305,16866,199.63028614309454,55.95288618407572
OH,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",2,153,105.76377297271428,129.38188648635713
OH,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",40,4346,175.60733230699057,113.04018330767477
OH,"Secondary flow 30% to <50% to a larger urbanized area of 50,000 and greater",6,417,265.26472238766667,113.71078706461111
OH,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",3,86,132.45762142799998,72.81920714266666
