Rndrng_Prvdr_Geo_Lvl,Rndrng_Prvdr_Geo_Cd,Rndrng_Prvdr_Geo_Desc,HCPCS_Cd,HCPCS_Desc,HCPCS_Drug_Ind,Place_Of_Srvc,Tot_Rndrng_Prvdrs,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt
State,06,California,77002,Fluoroscopic guidance for needle placement,N,F,1020,7083,8363,8361,154.18661246,27.943147196,21.451772091,20.409996413
State,06,California,77002,Fluoroscopic guidance for needle placement,N,O,834,10718,17959,17955,433.7723175,120.36652431,93.803876051,83.16894816
State,08,Colorado,64624,Destruction of nerve branches of knee using imaging guidance,N,F,85,190,318,305,2984.1522956,378.83691824,298.61336478,301.30160377
State,08,Colorado,64624,Destruction of nerve branches of knee using imaging guidance,N,O,34,120,148,148,1712.657973,445.87391892,354.28256757,340.87912162
State,08,Colorado,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,F,63,166,303,272,3878.7660726,427.98993399,338.869967,342.4859736
State,08,Colorado,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,O,21,144,204,204,1848.6833333,567.26857843,441.85039216,423.20534314
State,08,Colorado,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,F,134,744,1783,1591,3207.5678912,476.06910824,375.75444195,381.04885586
State,08,Colorado,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,O,47,412,524,523,2199.6378244,565.20610687,444.33217557,434.42398855
State,08,Colorado,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,92,613,1031,784,738.08419011,73.546023278,58.566838021,58.530785645
State,08,Colorado,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,44,376,521,479,1078.4317274,328.05095969,261.86527831,258.62190019
State,08,Colorado,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,F,158,1944,4690,3774,3283.3294158,471.35966525,371.87055011,378.34497868
State,08,Colorado,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,O,57,1123,1396,1396,2278.1470272,593.31949857,465.92919771,454.89040115
State,08,Colorado,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,115,1676,2486,2005,705.27916331,73.57928399,58.607948512,58.442554304
State,08,Colorado,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,56,1032,1376,1285,1010.3109956,321.6959593,256.83199128,251.66638081
State,08,Colorado,64640,Destruction of peripheral nerve or branch,N,F,51,176,465,243,1060.5710108,93.594,73.337978495,67.173075269
State,08,Colorado,64640,Destruction of peripheral nerve or branch,N,O,52,246,645,371,697.60088372,194.38362791,152.39235659,141.5604186
State,08,Colorado,77002,Fluoroscopic guidance for needle placement,N,F,271,1440,1604,1602,142.28553616,28.43005611,22.142637157,21.799894015
State,08,Colorado,77002,Fluoroscopic guidance for needle placement,N,O,200,1560,3385,3385,267.36974298,114.69685672,89.256827179,85.992073855
State,09,Connecticut,64624,Destruction of nerve branches of knee using imaging guidance,N,F,27,228,361,357,3116.3348199,568.05443213,451.92135734,426.76448753
State,09,Connecticut,64624,Destruction of nerve branches of knee using imaging guidance,N,O,20,59,72,72,1613.5422222,398.43236111,315.57291667,294.20625
State,09,Connecticut,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,F,39,105,232,213,2946.9789655,531.95469828,418.40474138,405.76237069
State,09,Connecticut,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,O,34,214,253,253,2502.7106719,553.87399209,437.95782609,416.17391304
State,09,Connecticut,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,22,75,88,88,868.28568182,72.446022727,57.621704545,55.76625
State,09,Connecticut,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,32,193,235,228,1291.7610638,328.96642553,262.28238298,244.17944681
State,09,Connecticut,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,F,59,387,905,763,3665.4904199,523.23134807,414.54081768,390.81629834
State,09,Connecticut,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,O,50,859,1049,1049,3163.9283127,595.97101049,468.82339371,434.68929457
State,09,Connecticut,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,40,284,371,359,657.92576819,71.737924528,57.219326146,53.549865229
State,09,Connecticut,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,51,817,999,981,1316.9016517,322.64227227,256.99386386,237.06802803
State,09,Connecticut,64640,Destruction of peripheral nerve or branch,N,F,17,333,1145,485,1843.5229869,74.485965066,58.175965066,56.429772926
State,09,Connecticut,64640,Destruction of peripheral nerve or branch,N,O,28,86,232,99,681.34396552,178.48284483,138.42456897,113.97939655
State,09,Connecticut,77002,Fluoroscopic guidance for needle placement,N,F,133,693,776,775,155.44967784,27.717474227,21.760154639,20.657719072
State,09,Connecticut,77002,Fluoroscopic guidance for needle placement,N,O,172,1828,2286,2286,348.46229221,114.78948381,89.805826772,83.082843395
State,10,Delaware,64624,Destruction of nerve branches of knee using imaging guidance,N,F,11,26,40,38,1232.53925,325.487,259.59875,254.11225
State,10,Delaware,64624,Destruction of nerve branches of knee using imaging guidance,N,O,12,187,196,196,1965.6122449,375.91239796,299.33178571,297.26607143
State,10,Delaware,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,F,11,22,61,60,2474.4032787,525.64098361,415.92409836,408.22409836
State,10,Delaware,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,F,27,156,356,327,2670.9760955,506.95511236,398.96435393,397.57603933
State,10,Delaware,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,O,16,82,114,114,2234.6897368,470.74342105,367.39649123,361.49131579
State,10,Delaware,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,18,114,166,133,937.93228916,70.919879518,56.129518072,56.120783133
State,10,Delaware,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,16,75,111,105,1042.6537838,263.73054054,210.63162162,209.63612613
State,10,Delaware,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,F,33,550,1480,1247,2830.1618311,511.51817568,404.36175,401.28012162
State,10,Delaware,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,O,23,447,657,657,2594.8948097,462.76284627,362.97552511,362.64410959
State,10,Delaware,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,23,415,580,515,1027.3715862,69.208465517,55.155051724,54.498517241
State,10,Delaware,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,23,420,699,622,1118.0363948,245.24585122,195.74297568,199.56320458
State,10,Delaware,64640,Destruction of peripheral nerve or branch,N,F,6,15,28,20,1537.9596429,103.18964286,82.401071429,80.226785714
State,10,Delaware,64640,Destruction of peripheral nerve or branch,N,O,20,340,1024,371,1239.5833203,139.05873047,108.70222656,94.341894531
State,10,Delaware,77002,Fluoroscopic guidance for needle placement,N,F,39,187,211,211,243.65876777,46.627156398,36.936729858,36.362369668
State,10,Delaware,77002,Fluoroscopic guidance for needle placement,N,O,39,528,1012,1012,358.35897233,103.6745751,80.960494071,80.725899209
State,11,District of Columbia,64624,Destruction of nerve branches of knee using imaging guidance,N,F,14,42,44,44,867.33227273,176.60136364,137.99363636,126.59977273
State,11,District of Columbia,64624,Destruction of nerve branches of knee using imaging guidance,N,O,7,23,25,25,1397.6024,304.07,242.648,207.7508
State,11,District of Columbia,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,F,4,17,23,23,1562.4391304,193.09565217,154.08608696,151.73173913
State,11,District of Columbia,64633,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, single facet joint",N,O,6,33,36,36,1577.1541667,575.52638889,451.98805556,389.70555556
State,11,District of Columbia,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,4,17,32,23,894.8303125,67.346875,54.00875,53.1571875
State,11,District of Columbia,64634,"Destruction of upper or middle spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,6,26,34,28,929.02647059,342.21676471,272.93235294,231.94323529
State,11,District of Columbia,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,F,12,100,125,124,1760.44144,237.0656,188.78728,175.99856
State,11,District of Columbia,64635,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, single facet joint",N,O,9,98,115,115,1773.1561739,652.96573913,514.57756522,451.24773913
State,11,District of Columbia,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,F,11,99,156,123,949.84634615,68.139551282,54.534358974,51.490512821
State,11,District of Columbia,64636,"Destruction of lower or sacral spinal facet joint nerves using imaging guidance, each additional facet joint",N,O,9,76,98,83,1023.2869388,323.11612245,257.67408163,225.40306122
State,11,District of Columbia,64640,Destruction of peripheral nerve or branch,N,O,4,26,92,33,799.76630435,198.66304348,156.32413043,104.96119565
State,11,District of Columbia,77002,Fluoroscopic guidance for needle placement,N,F,36,271,287,286,117.36644599,31.640034843,24.826585366,22.588571429
State,11,District of Columbia,77002,Fluoroscopic guidance for needle placement,N,O,14,74,82,82,284.57609756,125.90926829,98.351097561,86.704756098
State,12,Florida,64624,Destruction of nerve branches of knee using imaging guidance,N,F,292,828,1421,1344,2490.0100704,386.85719916,305.30441239,320.53997185
State,12,Florida,64624,Destruction of nerve branches of knee using imaging guidance,N,O,248,1086,1280,1280,1615.8839531,378.70091406,294.7823125,303.088375
State,12,Florida,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,F,242,972,2236,1917,3305.9855411,454.50580501,357.98162791,376.23037567
State,12,Florida,64625,Destruction of nerves supplying joint between spine and pelvis using imaging guidance,N,O,198,1307,1617,1617,2464.3154917,504.60283241,394.25936302,404.97460111
