Rndrng_Prvdr_State_Abrvtn,Place_Of_Srvc,Rndrng_Prvdr_RUCA_Desc_Urban,Total_Beneficiaries_Urban,Unique_Providers_Urban,Provider_Density_Urban,Urban_Rural_Urban,Rndrng_Prvdr_RUCA_Desc_Rural,Total_Beneficiaries_Rural,Unique_Providers_Rural,Provider_Density_Rural,Urban_Rural_Rural,Gap_Ratio,Urban_Patients,Rural_Patients,Urban_Providers,Rural_Providers,Urban_Patients_per_Provider,Rural_Patients_per_Provider
CO,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",336,8,0.023809523809523808,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",105.0,1.0,0.009523809523809525,Rural,2.4999999999999996,336,105.0,8,1.0,42.0,105.0
CO,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5677,50,0.008807468733485996,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",94.0,3.0,0.031914893617021274,Rural,0.2759673536492279,5677,94.0,50,3.0,113.54,31.333333333333332
CO,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5677,50,0.008807468733485996,Urban,"Small town high commuting: primary flow 30% or more to a urban cluster of 2,500 to 9,999",37.0,2.0,0.05405405405405406,Rural,0.16293817156949092,5677,37.0,50,2.0,113.54,18.5
CO,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",26,1,0.038461538461538464,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",94.0,3.0,0.031914893617021274,Rural,1.2051282051282053,26,94.0,1,3.0,26.0,31.333333333333332
CO,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",26,1,0.038461538461538464,Urban,"Small town high commuting: primary flow 30% or more to a urban cluster of 2,500 to 9,999",37.0,2.0,0.05405405405405406,Rural,0.7115384615384616,26,37.0,1,2.0,26.0,18.5
CO,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",494,8,0.016194331983805668,Urban,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",94.0,3.0,0.031914893617021274,Rural,0.5074224021592443,494,94.0,8,3.0,61.75,31.333333333333332
CO,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",494,8,0.016194331983805668,Urban,"Small town high commuting: primary flow 30% or more to a urban cluster of 2,500 to 9,999",37.0,2.0,0.05405405405405406,Rural,0.29959514170040485,494,37.0,8,2.0,61.75,18.5
CT,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1944,34,0.01748971193415638,Urban,0,0.0,0.0,0.0,0,inf,1944,0.0,34,0.0,57.1764705882353,inf
CT,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3749,58,0.015470792211256334,Urban,0,0.0,0.0,0.0,0,inf,3749,0.0,58,0.0,64.63793103448276,inf
CT,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",150,5,0.03333333333333333,Urban,0,0.0,0.0,0.0,0,inf,150,0.0,5,0.0,30.0,inf
