Rndrng_Prvdr_State_Abrvtn,Place_Of_Srvc,Rndrng_Prvdr_RUCA_Desc,Total_Services,Drug_Services,Total_Beneficiaries,Unique_Providers,Drug_Service_Pct,Provider_Density,Urban_Rural
ME,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",81,0,81,3,0.0,0.037037037037037035,Rural
ME,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1998,0,1961,19,0.0,0.009688934217236104,Urban
ME,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",175,0,174,2,0.0,0.011494252873563218,Urban
MI,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5310,0,4693,117,0.0,0.024930747922437674,Urban
MI,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",268,0,258,3,0.0,0.011627906976744186,Urban
MI,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1496,0,947,21,0.0,0.022175290390707498,Urban
MI,F,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",29,0,29,2,0.0,0.06896551724137931,Rural
MI,F,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",35,0,11,1,0.0,0.09090909090909091,Urban
MI,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",154,0,131,4,0.0,0.030534351145038167,Rural
MI,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",13038,0,12679,140,0.0,0.011041880274469595,Urban
MI,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1168,0,1018,13,0.0,0.012770137524557957,Urban
MI,O,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",51,0,51,1,0.0,0.0196078431372549,Rural
MI,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",505,0,504,4,0.0,0.007936507936507936,Rural
MN,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",9734,0,9101,150,0.0,0.016481705307109108,Urban
MN,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",51,0,51,2,0.0,0.0392156862745098,Urban
MN,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",926,0,791,14,0.0,0.017699115044247787,Urban
MN,F,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",197,0,197,6,0.0,0.030456852791878174,Rural
MN,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",252,0,252,3,0.0,0.011904761904761904,Rural
MN,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4431,0,4334,79,0.0,0.01822796492847254,Urban
MN,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",29,0,29,1,0.0,0.034482758620689655,Urban
MN,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",105,0,105,2,0.0,0.01904761904761905,Urban
MN,O,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",90,0,90,1,0.0,0.011111111111111112,Rural
MN,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",14,0,14,1,0.0,0.07142857142857142,Rural
MO,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",8885,0,8377,154,0.0,0.018383669571445625,Urban
MO,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",921,0,767,8,0.0,0.010430247718383311,Urban
MO,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1587,0,1017,12,0.0,0.011799410029498525,Urban
MO,F,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",73,0,71,2,0.0,0.028169014084507043,
MO,F,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",65,0,65,2,0.0,0.03076923076923077,Rural
MO,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",8945,0,8792,77,0.0,0.00875796178343949,Urban
MO,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",203,0,168,2,0.0,0.011904761904761904,Urban
MO,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",112,0,80,3,0.0,0.0375,Urban
MO,O,"Small town low commuting: primary flow 10% to <30% to a urban cluster of 2,500 to 9,999",518,0,518,1,0.0,0.0019305019305019305,Rural
MS,F,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7756,0,6310,47,0.0,0.007448494453248812,Urban
MS,F,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",655,0,641,5,0.0,0.0078003120124804995,Urban
MS,F,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",683,0,540,12,0.0,0.022222222222222223,Urban
MS,F,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",1969,0,1711,9,0.0,0.005260081823495032,Rural
MS,F,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",748,0,600,4,0.0,0.006666666666666667,Urban
MS,F,"Small town high commuting: primary flow 30% or more to a urban cluster of 2,500 to 9,999",63,0,63,1,0.0,0.015873015873015872,Rural
MS,O,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",920,0,874,11,0.0,0.012585812356979404,Urban
MS,O,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",668,0,488,5,0.0,0.010245901639344262,Urban
MS,O,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",2776,0,1462,13,0.0,0.008891928864569083,Urban
MS,O,"Micropolitan high commuting: primary flow 30% or more to a urban cluster of 10,000 to 49,999",995,0,683,4,0.0,0.005856515373352855,Rural
MS,O,"Secondary flow 30% to <50% to a urban cluster of 10,000 to 49,999",33,0,31,2,0.0,0.06451612903225806,Urban
MS,O,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",175,0,175,1,0.0,0.005714285714285714,Rural
