Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA_Desc,Total_Providers,Total_Beneficiaries,Avg_Allowed_Amt,Opportunity_Index
03301,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",19,652,171.71895805292309,43.35362937120648
03431,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",2,116,96.77967766075001,106.389838830375
03458,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,53,166.9631111123333,219.9631111123333
03756,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",15,1118,119.23509215270967,82.48233947684732
03801,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5,858,340.9345696084706,239.78691392169412
03820,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4,336,140.18564572475,119.0464114311875
03825,"Metropolitan area low commuting: primary flow 10% to <30% to a urbanized area of 50,000 and greater",3,339,298.8414051965,212.61380173216665
03833,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6,280,105.58383159633334,64.26397193272221
03860,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,88,321.8814713066667,409.8814713066667
03867,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,38,26.005,64.005
03870,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,75,834.04222222,909.04222222
03878,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,56,238.64999550225,98.21666516741668
03909,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,74,103.94,177.94
04073,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",2,166,184.432639001,175.2163195005
04074,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,222,294.7133503642857,172.2377834547619
04102,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",8,497,131.58570528778947,78.57321316097368
04103,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,35,22.800789474,57.800789474
04105,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4,116,23.71804446775,34.9295111169375
04106,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,25,118.77294118,143.77294118
04210,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,112,189.45085067542854,150.72542533771428
04240,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,166,117.60043584539999,283.6004358454
04268,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,11,21.693846154,32.693846154
04401,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",12,574,199.41349445228,64.45112453769
04769,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,46,116.31666666666666,162.31666666666666
04915,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",1,14,26.0,40.0
05255,"Rural areas: primary flow to a tract outside a urbanized area of 50,000 and greater or UC",1,76,436.73648844,512.73648844
05301,"Small town core: primary flow within an urban cluster of 2,500 to 9,999",3,133,59.47307154033333,64.15769051344445
05401,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",11,541,154.95756185085713,63.26886925916883
05445,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",1,27,26.05,53.05
05446,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,166,134.10511138639998,300.1051113864
05478,"Secondary flow 30% to <50% to a urbanized area of 50,000 and greater",1,17,22.161176471,39.161176471000005
05495,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,131,276.85144486,203.92572243
05602,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",3,101,103.19034237916667,68.06344745972223
05701,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,42,120.2976086945,162.2976086945
06030,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,162,28.357115247499998,63.452371749166666
06032,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,52,528.79958145,580.79958145
06062,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,22,355.55366872999997,377.55366872999997
06067,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,97,827.851225105,924.851225105
06070,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,21,26.443636364,47.443636364
06106,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6,306,134.4320270621,73.40533784368334
06112,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,11,127.47875,138.47875
06254,"Metropolitan area high commuting: primary flow 30% or more to a urbanized area of 50,000 and greater",5,116,126.950644388,48.5901288776
06320,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,203,92.95474728159999,98.65158242720001
06357,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,12,127.29307692,139.29307692
06360,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,12,28.06,40.06
06385,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,332,487.463001169,819.463001169
06405,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,26,127.26,153.26
06410,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,56,535.77651515,591.77651515
06437,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,74,126.61458547500001,100.3072927375
06457,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",5,73,266.396222944,67.87924458879999
06460,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,31,127.26,79.13
06461,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,12,680.06521739,692.06521739
06470,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,162,537.4276810525,699.4276810525
06475,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,19,28.567142857,47.567142857
06488,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,11,28.088333333,39.088333333
06492,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",3,131,332.44578199833336,154.4819273327778
06510,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",7,365,288.2892014876364,93.32702878394805
06511,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,17,28.57,45.57
06518,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6,143,275.37532687875,69.72922114645833
06610,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,114,26.696746795,70.3483733975
06611,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,90,343.3265664925,216.66328324625
06708,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4,448,353.84653885583333,200.46163471395835
06762,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",6,355,334.728695536,114.95478258933333
06790,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",1,32,127.33,159.32999999999998
06804,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,208,334.7657188333333,271.38285941666663
06810,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",9,534,315.53404207094445,94.39267134121604
06820,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,11,65.888305085,76.888305085
06831,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,60,130.365,190.365
06851,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,64,343.86712415333335,407.86712415333335
06880,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,15,127.26,142.26
06897,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,17,664.60575758,681.60575758
06902,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4,188,439.16873909739996,156.79218477435
06904,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,49,317.3273789166667,366.3273789166667
06905,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,23,733.19116279,756.19116279
07001,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,22,130.66904762,152.66904762
07002,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",2,181,258.4872144725,219.74360723625
07010,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,26,393.99199999999996,419.99199999999996
07012,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",1,158,395.46014913666664,553.4601491366666
07013,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",8,292,350.914386314,80.36429828925
